name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_Storefront_RightVertical_3,HERO_Storefront_RightVertical_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.188,1,8,6,,0
HERO_StoreMall_DeepBody,HERO_StoreMall_DeepBody,MESH,Character,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.050,1,8,6,,0
HERO_StoreMall_FlatRoof,HERO_StoreMall_FlatRoof,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.056,1,8,6,,0
HERO_StoreMall_FrontParapet,HERO_StoreMall_FrontParapet,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.057,1,8,6,,0
HERO_Underglow_FrontHiddenStrip,HERO_Underglow_FrontHiddenStrip,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.054,1,8,6,,0
HERO_Underglow_RearHiddenStrip,HERO_Underglow_RearHiddenStrip,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.055,1,8,6,,0
L.Eye,L.Eye,MESH,Character,True,False,False,False,1,Main Model,Sphere.019,1,482,512,,0
Large Trash Can,Large Trash Can,EMPTY,Props / Signs / Decor,True,False,False,False,1,PROPS,,0,0,0,,7
Lid Pins.001,Lid Pins,MESH,Unsorted / Review,True,False,False,False,1,PROPS,Mesh.019,1,2780,2970,Large Trash Can,0
Lid.001,Lid,MESH,Unsorted / Review,True,False,False,False,1,PROPS,Mesh.017,1,21254,23160,Large Trash Can,0
Mball.008,Mball,MESH,Character,True,False,False,False,1,SAME_NAME_Mball,Mesh.001,1,1510,1893,177d920ddde57c74f8e1ef18863ab511,0
Mball.011,Mball,MESH,Character,True,False,False,False,1,SAME_NAME_Mball,Mesh,1,1930,2419,Plane.023,0
No Parking Sign,No Parking Sign,EMPTY,Environment,True,False,False,False,1,PROPS,,0,0,0,,1
Plane,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane,1,405,372,Audi e-tron GT quattro Black,0
Plane.001,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.001,1,10292,10800,Shoes,0
Plane.002,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.002,1,1114,1018,Audi e-tron GT quattro Black,0
Plane.003,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.003,1,2285,2198,Audi e-tron GT quattro Black,0
Plane.004,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.004,1,1370,1292,Audi e-tron GT quattro Black,0
Plane.005,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.005,1,1268,1186,Audi e-tron GT quattro Black,0
Plane.006,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.006,1,1438,1310,Audi e-tron GT quattro Black,0
Plane.007,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.007,1,668,596,Audi e-tron GT quattro Black,0
Plane.008,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.008,1,411,352,Audi e-tron GT quattro Black,0
Plane.009,Plane,MESH,Unsorted / Review,True,False,False,False,1,SAME_NAME_Plane,Plane.009,1,481,436,Audi e-tron GT quattro Black,0
